alphas,omegas,phis,time periods,time periods in hrs
[0.03727671 0.02893457],[1.45444104e-04 7.27220522e-05],[ 0.31616712 -0.62440293],[43200. 86400.],[12. 24.]
[0.02316676 0.02294359],[0.00021817 0.00015583],[-0.34468632 -0.04017532],[28800. 40320.],[ 8.  11.2]
[0.02383092 0.02374124],[0.00014544 0.00021817],[-1.11522977 -0.76908823],[43200. 28800.],[12.  8.]
[0.02266654 0.0214042 ],[0.00015583 0.00022856],[-0.42618391 -0.26266603],[40320.         27490.90909091],[11.2         7.63636364]
[0.02197012 0.02107024],[0.00015583 0.00022856],[-0.56440032 -0.43293728],[40320.         27490.90909091],[11.2         7.63636364]
[0.0210898  0.02000106],[1.55832969e-04 8.31109168e-05],[-0.67636247 -0.71382245],[40320. 75600.],[11.2 21. ]
[0.01271652 0.01271024],[1.35055240e-04 6.23331876e-05],[0.15799801 0.49824681],[ 46523.07692308 100800.        ],[12.92307692 28.        ]
[0.02439163 0.02157529],[0.00043633 0.00042594],[ 0.05162422 -0.0396049 ],[14400.        14751.2195122],[4.         4.09756098]
[0.03547955 0.03346879],[0.00014544 0.00029089],[ 0.2849661  -0.02149905],[43200. 21600.],[12.  6.]
[0.03623388 0.02956733],[0.00014544 0.00013506],[ 0.29789655 -0.06157987],[43200.         46523.07692308],[12.         12.92307692]
[0.03356125 0.03334159],[0.00014544 0.00021817],[-0.91842119 -0.53964376],[43200. 28800.],[12.  8.]
[0.02007435 0.01916772],[0.00015583 0.00022856],[-1.27902787 -1.13764752],[40320.         27490.90909091],[11.2         7.63636364]
[0.02684363 0.02656648],[0.00027011 0.00019739],[-0.97617835 -0.99103105],[23261.53846154 31831.57894737],[6.46153846 8.84210526]
[0.0269614  0.02603107],[3.11665938e-05 1.03888646e-04],[0.12876159 0.10025247],[201600.  60480.],[56.  16.8]
[0.0282233  0.02741828],[3.84387990e-04 3.11665938e-05],[0.34032613 0.15742987],[ 16345.94594595 201600.        ],[ 4.54054054 56.        ]
[0.03159284 0.03041423],[0.00043633 0.000374  ],[0.00802256 0.12910124],[14400. 16800.],[4.         4.66666667]
[0.03692341 0.03564206],[0.00014544 0.00029089],[0.41071422 0.19316459],[43200. 21600.],[12.  6.]
[0.03486438 0.02853639],[0.00014544 0.00013506],[0.15561256 0.3613452 ],[43200.         46523.07692308],[12.         12.92307692]
[0.03380109 0.03261329],[0.00014544 0.00021817],[-0.77515945 -0.31610172],[43200. 28800.],[12.  8.]
[0.02729236 0.02716818],[0.00027011 0.00019739],[0.49956616 0.55000938],[23261.53846154 31831.57894737],[6.46153846 8.84210526]
[0.03146333 0.03023618],[0.00043633 0.00036361],[-0.1550606   0.12167798],[14400. 17280.],[4.  4.8]
[0.03583283 0.03389154],[0.00014544 0.00029089],[0.34450781 0.08956928],[43200. 21600.],[12.  6.]
[0.0335208  0.03181639],[0.00014544 0.00021817],[-0.71902033 -0.2271518 ],[43200. 28800.],[12.  8.]
[0.0274172  0.02680054],[0.00027011 0.00019739],[-0.14284353  0.30180569],[23261.53846154 31831.57894737],[6.46153846 8.84210526]
