alphas,omegas,phis,time periods,time periods in hrs
[0.0372767  0.02893457 0.02891496 0.02862189 0.02790504],"[1.45444104e-04 7.27220522e-05 1.35055240e-04 2.07777292e-04
 5.81776417e-04]",[-0.3161671   0.62440233  0.76298168 -0.04586366 -0.52645574],"[43200.         86400.         46523.07692308 30240.
 10800.        ]",[12.         24.         12.92307692  8.4         3.        ]
[0.02316676 0.02294359 0.02282319 0.02152177 0.02049481],"[2.18166156e-04 1.55832969e-04 1.45444104e-04 8.31109168e-05
 5.19443230e-04]",[ 0.34468614  0.04017557  0.82256909  0.38095393 -0.83875526],[28800. 40320. 43200. 75600. 12096.],[ 8.   11.2  12.   21.    3.36]
[0.02399875 0.02383092 0.02374124 0.0235463  0.02203234],[0.00051944 0.00014544 0.00021817 0.00059217 0.00015583],[-0.03827047  1.11522968  0.7690881  -0.14251585  0.2400326 ],"[12096.         43200.         28800.         10610.52631579
 40320.        ]",[ 3.36       12.          8.          2.94736842 11.2       ]
[0.02266654 0.02140421 0.02104655 0.01907276 0.01906822],"[1.55832969e-04 2.28555021e-04 8.31109168e-05 2.18166156e-04
 2.38943886e-04]",[0.42618427 0.26266601 0.58380174 0.8705069  0.14160428],"[40320.         27490.90909091 75600.         28800.
 26295.65217391]",[11.2         7.63636364 21.          8.          7.30434783]
[0.02197013 0.02107024 0.02024887 0.0194951  0.01893895],"[1.55832969e-04 2.28555021e-04 8.31109168e-05 3.01277073e-04
 2.18166156e-04]",[0.56440073 0.43293723 0.67158198 0.3649889  1.15987083],"[40320.         27490.90909091 75600.         20855.17241379
 28800.        ]",[11.2         7.63636364 21.          5.79310345  8.        ]
[0.0210898  0.02000106 0.01996201 0.01887952 0.01885318],"[1.55832969e-04 8.31109168e-05 2.28555021e-04 2.38943886e-04
 1.66221834e-04]",[0.67636291 0.71382167 0.6381634  0.4972549  0.43037402],"[40320.         75600.         27490.90909091 26295.65217391
 37800.        ]",[11.2        21.          7.63636364  7.30434783 10.5       ]
[0.01416626 0.01386593 0.0137662  0.01285159 0.01271652],[0.00059217 0.00050905 0.00051944 0.00078955 0.00013506],[ 0.2708563   0.37817516  0.0333737   0.1564967  -0.15799815],"[10610.52631579 12342.85714286 12096.          7957.89473684
 46523.07692308]",[ 2.94736842  3.42857143  3.36        2.21052632 12.92307692]
[0.0243916  0.02424358 0.02413419 0.02347091 0.02157527],[0.00043633 0.00044672 0.00071683 0.00051944 0.00042594],[-0.05163015 -0.30386585  0.00436119 -0.01000143  0.03960339],"[14400.         14065.11627907  8765.2173913  12096.
 14751.2195122 ]",[4.         3.90697674 2.43478261 3.36       4.09756098]
[0.03734879 0.03547955 0.03346879 0.03166063 0.03147997],[0.00058178 0.00014544 0.00029089 0.00021817 0.00036361],[ 0.30423463 -0.28496618  0.02149905 -0.04397441  0.30135608],[10800. 43200. 21600. 28800. 17280.],[ 3.  12.   6.   8.   4.8]
[0.03623388 0.0309684  0.02956733 0.02909755 0.02788865],[0.00014544 0.00051944 0.00013506 0.00058178 0.00050905],[-0.29789659  0.13630222  0.06157991 -0.33631569  0.29768103],"[43200.         12096.         46523.07692308 10800.
 12342.85714286]",[12.          3.36       12.92307692  3.          3.42857143]
