Current time,2023-04-28 15:45:23
map name,time_cost | distance | timestamp | timestamp_local
path0_map1,"[0.3228603257417779, 145.58059692382812, 1628446944, '2021-08-08 20:22:24']"
path0_map4,"[0.2823246063276226, 145.6076202392578, 1628445730, '2021-08-08 20:02:10']"
path0_map5,"[0.29633847312852124, 145.60157775878906, 1628446155, '2021-08-08 20:09:15']"
path0_map6,"[0.3545157261598778, 145.58544921875, 1628447864, '2021-08-08 20:37:44']"
path0_map7,"[0.38923184601984817, 145.6717987060547, 1628448852, '2021-08-08 20:54:12']"
path0_map20,"[0.0016778169051079317, 145.57846069335938, 1632576397, '2021-09-25 15:26:37']"
path0_map21,"[0.0005737641671038074, 145.61668395996094, 1632576865, '2021-09-25 15:34:25']"
path0_map22,"[0.0006591703528633364, 144.622802734375, 1632578230, '2021-09-25 15:57:10']"
path0_map17,"[0.1477905490284242, 145.61265563964844, 1630773976, '2021-09-04 18:46:16']"
